{'numeracySkill': 'M', 'studentId': 10, 'word': 'rf', 'packageName': 'Game', 'number': 9821, 'literacySkill': 'IUr', 'score': 77, 'deviceId': 10, 'letter': 'y', 'time': datetime.datetime(2015, 3, 30, 5, 20, 45, 75330), 'id': 10}
{'numeracySkill': 'aDg', 'studentId': 11, 'word': 'SWt', 'packageName': 'Speech', 'number': 3083, 'literacySkill': 'gvtPu', 'score': 49, 'deviceId': 11, 'letter': 'S', 'time': datetime.datetime(2014, 7, 20, 12, 13, 22, 835062), 'id': 11}
{'numeracySkill': 'ghO', 'studentId': 12, 'word': 'ZXvYYn', 'packageName': 'Game', 'number': 7887, 'literacySkill': 'GdyHo', 'score': 60, 'deviceId': 12, 'letter': 'h', 'time': datetime.datetime(2015, 10, 26, 15, 27, 35, 193407), 'id': 12}
{'numeracySkill': 'gpRh', 'studentId': 13, 'word': 'PLXgyo', 'packageName': 'Game', 'number': 5288, 'literacySkill': 'UOkT', 'score': 68, 'deviceId': 13, 'letter': 'E', 'time': datetime.datetime(2013, 10, 27, 7, 4, 1, 264450), 'id': 13}
{'numeracySkill': 's', 'studentId': 14, 'word': 'qaxODMnc', 'packageName': 'Literacy', 'number': 6793, 'literacySkill': 'MI', 'score': 61, 'deviceId': 14, 'letter': 'D', 'time': datetime.datetime(2015, 9, 6, 3, 37, 10, 341996), 'id': 14}
{'numeracySkill': 'zQVZ', 'studentId': 15, 'word': 'WFJeYac', 'packageName': 'Literacy', 'number': 1389, 'literacySkill': 'hgNS', 'score': 79, 'deviceId': 15, 'letter': 'R', 'time': datetime.datetime(2014, 3, 16, 14, 54, 51, 312461), 'id': 15}
{'numeracySkill': 'QyX', 'studentId': 16, 'word': 'qYPBjAeQs', 'packageName': 'Speech', 'number': 7960, 'literacySkill': 'lGIN', 'score': 69, 'deviceId': 16, 'letter': 'Y', 'time': datetime.datetime(2014, 4, 10, 0, 5, 45, 361704), 'id': 16}
{'numeracySkill': 'sN', 'studentId': 17, 'word': 'yMbF', 'packageName': 'Game', 'number': 3683, 'literacySkill': 'yi', 'score': 63, 'deviceId': 17, 'letter': 'N', 'time': datetime.datetime(2014, 9, 29, 1, 54, 48, 52425), 'id': 17}
{'numeracySkill': 'ziR', 'studentId': 18, 'word': 'PpHjD', 'packageName': 'Literacy', 'number': 205, 'literacySkill': 'LW', 'score': 90, 'deviceId': 18, 'letter': 'a', 'time': datetime.datetime(2014, 8, 22, 0, 52, 4, 127740), 'id': 18}
{'numeracySkill': 'vXJoa', 'studentId': 19, 'word': 'g', 'packageName': 'Literacy', 'number': 3238, 'literacySkill': 'tmfz', 'score': 34, 'deviceId': 19, 'letter': 'k', 'time': datetime.datetime(2015, 12, 14, 15, 29, 22, 130921), 'id': 19}
{'numeracySkill': 'sUl', 'studentId': 20, 'word': 'wjDGzODaHY', 'packageName': 'Literacy', 'number': 2684, 'literacySkill': 'kU', 'score': 35, 'deviceId': 20, 'letter': 't', 'time': datetime.datetime(2015, 10, 26, 7, 22, 32, 6714), 'id': 20}
{'numeracySkill': 'c', 'studentId': 21, 'word': 'vOEC', 'packageName': 'Game', 'number': 6976, 'literacySkill': 'nwlk', 'score': 40, 'deviceId': 21, 'letter': 'z', 'time': datetime.datetime(2017, 4, 5, 20, 21, 28, 48361), 'id': 21}
{'numeracySkill': 'fz', 'studentId': 22, 'word': 'oTm', 'packageName': 'Speech', 'number': 2533, 'literacySkill': 'QVj', 'score': 77, 'deviceId': 22, 'letter': 'i', 'time': datetime.datetime(2015, 12, 24, 15, 17, 24, 458214), 'id': 22}
{'numeracySkill': 'OYB', 'studentId': 23, 'word': 'IbuCpuQs', 'packageName': 'Speech', 'number': 7245, 'literacySkill': 'h', 'score': 76, 'deviceId': 23, 'letter': 'L', 'time': datetime.datetime(2014, 4, 1, 19, 58, 4, 979735), 'id': 23}
{'numeracySkill': 'sSVtd', 'studentId': 24, 'word': 'f', 'packageName': 'Speech', 'number': 3211, 'literacySkill': 'P', 'score': 69, 'deviceId': 24, 'letter': 'P', 'time': datetime.datetime(2014, 2, 28, 15, 55, 17, 899162), 'id': 24}
{'numeracySkill': 'UW', 'studentId': 25, 'word': 'UhRUbM', 'packageName': 'Game', 'number': 6483, 'literacySkill': 'V', 'score': 79, 'deviceId': 25, 'letter': 'A', 'time': datetime.datetime(2013, 11, 12, 2, 27, 28, 925819), 'id': 25}
{'numeracySkill': 'YyC', 'studentId': 26, 'word': 'etwKLcQdmy', 'packageName': 'Literacy', 'number': 2895, 'literacySkill': 'vrWlX', 'score': 46, 'deviceId': 26, 'letter': 'F', 'time': datetime.datetime(2014, 1, 30, 17, 58, 26, 774461), 'id': 26}
{'numeracySkill': 'KazkP', 'studentId': 27, 'word': 'noEe', 'packageName': 'Game', 'number': 1872, 'literacySkill': 'oAP', 'score': 97, 'deviceId': 27, 'letter': 'J', 'time': datetime.datetime(2017, 2, 8, 0, 47, 9, 716389), 'id': 27}
{'numeracySkill': 'U', 'studentId': 28, 'word': 'LbRZinJD', 'packageName': 'Literacy', 'number': 6547, 'literacySkill': 'p', 'score': 29, 'deviceId': 28, 'letter': 'x', 'time': datetime.datetime(2017, 1, 20, 11, 2, 6, 561933), 'id': 28}
{'numeracySkill': 'ctEI', 'studentId': 29, 'word': 'xofSPa', 'packageName': 'Game', 'number': 693, 'literacySkill': 'F', 'score': 25, 'deviceId': 29, 'letter': 's', 'time': datetime.datetime(2016, 1, 22, 9, 43, 32, 774994), 'id': 29}
